Order,Property Id,DOF Gross Floor Area,Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,Community Board,Census Tract,log_Direct GHG Emissions (Metric Tons CO2e),log_Water Use (All Water Sources) (kgal),log_Water Intensity (All Water Sources) (gal/ft²),Borough_Staten Island,Largest Property Use Type_Adult Education,Largest Property Use Type_Automobile Dealership,Largest Property Use Type_Bank Branch,Largest Property Use Type_College/University,Largest Property Use Type_Convenience Store without Gas Station,Largest Property Use Type_Courthouse,Largest Property Use Type_Distribution Center,Largest Property Use Type_Enclosed Mall,Largest Property Use Type_Financial Office,Largest Property Use Type_Hospital (General Medical & Surgical),Largest Property Use Type_Hotel,Largest Property Use Type_K-12 School,Largest Property Use Type_Library,Largest Property Use Type_Mailing Center/Post Office,Largest Property Use Type_Manufacturing/Industrial Plant,Largest Property Use Type_Medical Office,Largest Property Use Type_Movie Theater,Largest Property Use Type_Multifamily Housing,Largest Property Use Type_Museum,Largest Property Use Type_Non-Refrigerated Warehouse,Largest Property Use Type_Other,Largest Property Use Type_Other - Education,Largest Property Use Type_Other - Entertainment/Public Assembly,Largest Property Use Type_Other - Lodging/Residential,Largest Property Use Type_Other - Mall,Largest Property Use Type_Other - Public Services,Largest Property Use Type_Other - Recreation,Largest Property Use Type_Other - Services,Largest Property Use Type_Other - Specialty Hospital,Largest Property Use Type_Outpatient Rehabilitation/Physical Therapy,Largest Property Use Type_Parking,Largest Property Use Type_Performing Arts,Largest Property Use Type_Pre-school/Daycare,Largest Property Use Type_Refrigerated Warehouse,"Largest Property Use Type_Repair Services (Vehicle, Shoe, Locksmith, etc.)",Largest Property Use Type_Residence Hall/Dormitory,Largest Property Use Type_Residential Care Facility,Largest Property Use Type_Restaurant,Largest Property Use Type_Retail Store,Largest Property Use Type_Self-Storage Facility,Largest Property Use Type_Senior Care Community,Largest Property Use Type_Social/Meeting Hall,Largest Property Use Type_Strip Mall,Largest Property Use Type_Supermarket/Grocery Store,Largest Property Use Type_Urgent Care/Clinic/Other Outpatient,Largest Property Use Type_Wholesale Club/Supercenter,Largest Property Use Type_Worship Facility
1395,2637906,60000.0,60000.0,1961,1,100,76.3,80.4,6.9,0.6,2093.3,34.89,40.73469,-74.009371,2.0,75.0,5.108366782589591,7.646497047100475,3.5522002551986827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4768,4038898,81133.0,85247.0,1928,1,100,56.9,,5.5,,2564.5,30.08,40.787718,-73.95534,8.0,16001.0,5.1480757032174935,7.849518806829323,3.403860499081639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7490,2681757,125075.0,104175.0,1975,1,100,87.7,90.4,14.2,0.4,,,40.853773,-73.881558,6.0,393.0,5.412984441526163,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3146,2637882,104238.0,104238.0,1924,1,100,59.1,,,0.5,2925.1,28.06,40.782227,-73.976157,7.0,165.0,5.529032183358565,7.9810839471157475,3.3343450746743146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6845,4046341,186000.0,180000.0,1968,1,100,9.4,9.4,1.1,0.1,335.9,1.87,40.809593,-73.90734599999999,1.0,31.0,3.9589065913269965,5.816813496618247,0.6259384308664954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,5864820,97798.0,99754.0,1909,1,100,93.8,97.1,10.8,0.1,,,40.708763,-74.007243,1.0,1502.0,3.2108436531709366,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2469,4407989,200000.0,210000.0,1953,1,100,78.4,86.0,6.0,,11535.0,54.93,40.747243,-73.981208,6.0,72.0,6.809701338506749,9.353141170607854,4.006059647354529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6635,3512806,57240.0,68688.0,1922,1,100,70.8,77.1,3.8,0.6,4232.5,61.62,40.834210999999996,-73.919602,4.0,197.0,5.349485653122436,8.35054811400729,4.120986493168521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5906,3127349,60000.0,65000.0,1925,1,100,98.2,101.8,5.1,0.5,4897.3,69.96,40.84241,-73.938743,12.0,253.0,5.849324779946859,8.49643931182302,4.247923650150401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4512,4945824,160311.0,173670.0,1963,1,100,105.5,102.9,5.3,0.0,,,40.766496999999994,-73.958878,8.0,126.0,3.039749158970765,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8165,5764710,66000.0,66000.0,1950,1,100,72.9,77.4,3.4,0.7,,,40.824825,-73.879239,9.0,5001.0,5.361761539104571,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319,2827111,56614.0,59445.0,1930,1,100,35.7,35.7,5.6,0.2,567.2,9.54,40.725097,-74.009261,2.0,37.0,3.960813169597578,6.340711975217918,2.255493485460195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5438,2803464,67536.0,75000.0,1991,1,100,78.7,82.6,7.4,0.6,4318.7,57.58,40.804041,-73.963095,9.0,199.0,5.348059458442851,8.370709710024938,4.05317528518403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4665,2638900,64058.0,64058.0,1925,1,100,76.0,75.5,5.8,0.6,1942.7,30.33,40.777194,-73.95985,8.0,142.0,5.244389024522481,7.571834037044735,3.41213732170049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7561,4028288,81450.0,85000.0,1936,1,100,116.1,123.7,6.2,0.0,,,40.856445,-73.90055,5.0,23704.0,6.3833377016966795,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1079,5859374,192471.0,221000.0,1920,1,80,37.4,39.0,6.9,0.2,3750.0,16.97,40.724373,-73.99986700000001,2.0,49.0,5.081404364984463,8.229511118964457,2.831447079246135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3619,2637481,389438.0,326305.0,1939,1,95,104.9,107.5,16.0,,,,40.757529999999996,-73.977946,5.0,96.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8478,2730462,188760.0,188760.0,1974,1,100,191.3,195.9,9.9,1.6,16788.1,88.94,40.859846000000005,-73.830281,11.0,310.0,7.365180126021013,9.728425581071432,4.48796198508255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7780,2815193,64368.0,64368.0,1928,1,100,86.1,96.7,4.5,0.5,,,40.872516999999995,-73.903252,8.0,273.0,5.591360045241914,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6295,4406122,60165.0,60157.0,1926,1,100,153.0,152.1,7.2,0.1,,,40.863682,-73.920962,12.0,293.0,6.341769244038871,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12647,2798184,79012.0,79120.0,1951,1,100,88.4,87.9,3.4,0.8,5647.9,71.38,,,,,5.772686453303412,8.6390390736339,4.268017718062014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6640,5857994,181700.0,181700.0,1929,1,100,60.8,,4.0,0.0,,,40.835299,-73.916948,4.0,197.0,6.422109953746444,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6398,3122828,145936.0,145936.0,1910,1,100,110.1,110.1,4.7,0.9,76437.4,523.77,40.808626000000004,-73.92177099999999,1.0,25.0,6.590301048196686,11.24422738417029,6.261052656664792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1850,5985966,55411.0,55411.0,2014,1,100,104.1,,19.1,,,,40.746413000000004,-73.991382,5.0,95.0,4.760463070394127,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2921,5835847,173915.0,173915.0,2009,1,100,52.0,54.5,6.9,0.3,,,40.765587,-73.98808000000001,4.0,133.0,5.575570243509278,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,4776067,131817.0,131817.0,1920,1,95,48.5,,,,,,40.717744,-74.003297,1.0,33.0,4.633757642840004,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2234,2607418,675986.0,786069.0,1962,1,100,123.7,120.4,13.3,,19146.5,24.36,40.743478,-73.98607,5.0,56.0,,9.859875210280734,3.192942442841696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5031,3204896,115223.0,103846.0,1963,1,100,92.2,98.7,4.2,0.0,,,,,,,6.501139509116577,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14407,4945797,185016.0,215852.0,1953,2,100,79.2,83.5,5.0,0.7,7930.8,36.74,,,,,6.562020275081739,8.978509192264408,3.6038660797869797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9399,3538132,155586.0,155586.0,1937,1,100,63.7,68.5,3.1,0.6,7843.0,50.41,40.675098,-73.94787,8.0,315.0,6.086320078120661,8.967376693212666,3.9201895680945396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10462,3094711,57122.0,62834.0,1926,1,100,85.0,90.1,9.2,0.6,,,40.660528,-73.96064399999999,9.0,79802.0,5.190732155868099,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2398,2663781,71151.0,75767.0,1928,1,100,96.7,102.7,5.4,0.1,2989.2,38.19,40.739278999999996,-73.98629100000001,6.0,68.0,6.081533744196849,8.002761072056135,3.6425737012374246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2778,3351449,1800000.0,1825000.0,1985,1,100,139.9,139.9,21.0,0.7,100317.0,54.97,40.758267,-73.98546800000001,5.0,119.0,8.79777511737771,11.516090451113385,4.006787581872569,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5714,3433036,64885.0,71373.0,1927,1,100,84.8,91.1,5.0,0.7,9658.8,135.33,40.817599,-73.941227,10.0,230.0,5.5443958891447425,9.175624695887688,4.907716240088415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12921,5860947,151960.0,146343.0,1961,1,100,75.1,78.1,10.0,0.4,,,,,,,5.842964538789538,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3557,5832850,192000.0,224000.0,1951,1,100,47.8,51.9,3.3,0.4,5226.6,23.33,40.794364,-73.973874,7.0,183.0,6.066108090103747,8.561516250052902,3.1497400860333387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2588,2617519,112898.0,106852.0,1961,1,100,128.6,127.1,10.8,0.0,9092.7,85.1,40.732592,-73.983417,6.0,48.0,2.6390573296152584,9.115227172769906,4.443827035579329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2327,2636846,62000.0,60958.0,1917,1,100,68.8,71.9,13.0,,1818.5,29.83,40.750013,-73.98236899999999,5.0,82.0,4.653007515402251,7.5057672644270435,3.395514598526657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10766,4917435,88400.0,65400.0,2007,1,100,64.3,,,,,,40.641735,-73.986599,12.0,226.0,4.530446639792155,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5989,2805329,57195.0,57195.0,1920,1,100,84.1,83.7,3.8,0.7,2462.1,43.05,40.842052,-73.940189,12.0,253.0,5.372496764722288,7.8087699233037755,3.7623622308737397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2798,1472861,2438059.0,2692740.0,1970,1,85,91.2,90.3,12.4,,51522.5,18.15,40.761522,-73.983994,5.0,131.0,,10.849773884445664,2.8986705607108596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6494,5734160,50411.0,50411.0,2008,1,100,63.1,,2.3,,5575.5,110.6,40.828818,-73.90826899999999,3.0,185.0,4.993828175779875,8.626137278405416,4.7059200890882344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6141,4406110,51348.0,51348.0,1937,1,100,121.9,121.9,3.5,1.1,,,40.86338,-73.929509,12.0,287.0,5.704115752446321,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2459,4951944,151686.0,55880.0,1988,1,100,118.7,123.8,12.4,0.8,2750.6,49.22,40.744871999999994,-73.98005400000001,6.0,72.0,5.39544407727876,7.919574348680607,3.89630004496291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
