Order,Property Id,DOF Gross Floor Area,Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Indirect GHG Emissions (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,Community Board,Census Tract,log_Site EUI (kBtu/ft²),log_Weather Normalized Site EUI (kBtu/ft²),log_Weather Normalized Site Electricity Intensity (kWh/ft²),log_Direct GHG Emissions (Metric Tons CO2e),log_Water Use (All Water Sources) (kgal),log_Water Intensity (All Water Sources) (gal/ft²),Borough_Staten Island,Largest Property Use Type_Adult Education,Largest Property Use Type_Ambulatory Surgical Center,Largest Property Use Type_Automobile Dealership,Largest Property Use Type_Bank Branch,Largest Property Use Type_College/University,Largest Property Use Type_Convenience Store without Gas Station,Largest Property Use Type_Courthouse,Largest Property Use Type_Data Center,Largest Property Use Type_Distribution Center,Largest Property Use Type_Enclosed Mall,Largest Property Use Type_Financial Office,Largest Property Use Type_Food Service,Largest Property Use Type_Hospital (General Medical & Surgical),Largest Property Use Type_Hotel,Largest Property Use Type_K-12 School,Largest Property Use Type_Laboratory,Largest Property Use Type_Library,Largest Property Use Type_Mailing Center/Post Office,Largest Property Use Type_Manufacturing/Industrial Plant,Largest Property Use Type_Medical Office,Largest Property Use Type_Movie Theater,Largest Property Use Type_Multifamily Housing,Largest Property Use Type_Museum,Largest Property Use Type_Non-Refrigerated Warehouse,Largest Property Use Type_Other,Largest Property Use Type_Other - Education,Largest Property Use Type_Other - Entertainment/Public Assembly,Largest Property Use Type_Other - Lodging/Residential,Largest Property Use Type_Other - Mall,Largest Property Use Type_Other - Public Services,Largest Property Use Type_Other - Recreation,Largest Property Use Type_Other - Services,Largest Property Use Type_Other - Specialty Hospital,Largest Property Use Type_Other - Technology/Science,Largest Property Use Type_Outpatient Rehabilitation/Physical Therapy,Largest Property Use Type_Parking,Largest Property Use Type_Performing Arts,Largest Property Use Type_Pre-school/Daycare,Largest Property Use Type_Refrigerated Warehouse,"Largest Property Use Type_Repair Services (Vehicle, Shoe, Locksmith, etc.)",Largest Property Use Type_Residence Hall/Dormitory,Largest Property Use Type_Residential Care Facility,Largest Property Use Type_Restaurant,Largest Property Use Type_Retail Store,Largest Property Use Type_Self-Storage Facility,Largest Property Use Type_Senior Care Community,Largest Property Use Type_Social/Meeting Hall,Largest Property Use Type_Strip Mall,Largest Property Use Type_Supermarket/Grocery Store,Largest Property Use Type_Urgent Care/Clinic/Other Outpatient,Largest Property Use Type_Wholesale Club/Supercenter,Largest Property Use Type_Worship Facility,ENERGY STAR Score
2897,4403963,102720.0,102720.0,1987,1,100,92.8,27.2,0.0,0.0,892.5,0.0,0.0,40.767565999999995,-73.982798,4.0,139.0,4.539030383483547,4.530446639792155,3.3032169733019514,-inf,-inf,-inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2903,1261447,2797249.0,920504.0,2004,1,100,,25.2,24119385.6,241193.9,31714.5,1407.8,0.52,40.768351,-73.982206,4.0,145.0,5.009968405108552,,3.2268439945173775,7.173651759361996,7.249783481174031,-0.6539264674066639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2908,3114298,1285029.0,794567.0,2011,1,100,128.2,21.1,60405869.1,631489.2,7459.8,,,40.75913,-73.99582,4.0,115.0,4.833102254034098,4.853591544486569,3.0492730404820207,8.07352764949277,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2923,3528210,170440.0,155137.0,2004,1,100,101.8,12.8,10253663.6,110191.6,793.0,8014.1,42.19,40.76637,-73.986856,4.0,139.0,4.59511985013459,4.623010104116422,2.5494451709255714,6.300051580239659,8.988957769281452,3.7421832261362473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2927,4409001,95436.0,95436.0,2003,1,100,106.0,16.9,4281439.4,46226.4,515.9,2190.9,22.96,40.766715000000005,-73.986603,4.0,139.0,4.635699391022914,4.663439094112067,2.8273136219290276,5.426710581316436,7.692067697294174,3.133753571451366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2930,3116357,104966.0,108680.0,1957,1,100,60.1,5.4,4958494.1,49584.9,209.1,3797.9,31.98,40.768159000000004,-73.986307,4.0,139.0,4.1059436980654525,4.096009841541162,1.6863989535702288,5.573673789309181,8.242203561378417,3.4651107074058083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2941,2287199,388273.0,444264.0,1987,1,100,,8.0,700637.1,,1214.4,16009.6,34.43,40.76037,-73.997213,4.0,129.0,4.320151230955794,,2.0794415416798357,7.387090235656757,9.680943821293885,3.5389282773504322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2944,2806390,292381.0,237246.0,1989,1,100,123.2,7.5,22199489.0,236471.7,600.6,11524.5,47.53,40.76034,-73.995094,4.0,129.0,4.772378104971998,4.81380905109942,2.0149030205422647,7.0725067145826275,9.352230482975799,3.861361090625918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2947,2611600,156856.0,150644.0,1920,1,100,31.6,3.9,2304848.7,27602.8,186.1,11.8,0.08,40.760999,-73.99661,4.0,129.0,3.353406717825807,3.4531571205928664,1.3609765531356006,4.807294370078226,2.468099531471619,-2.5257286443082556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2962,2820270,65625.0,65625.0,1930,1,100,107.9,8.4,4597300.1,51912.3,175.5,,,40.765972,-73.994552,4.0,135.0,4.594109238628667,4.681204872264089,2.128231705849268,5.497987561676604,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2970,3129379,1082317.0,695913.0,2011,1,100,,13.5,40350738.9,,4380.5,,,40.768153999999996,-73.99296,4.0,135.0,4.469350462845557,,2.6026896854443837,7.670055318230399,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2974,5983666,228000.0,266000.0,1967,2,100,56.4,9.0,5679599.8,67993.9,762.2,,,40.76943,-73.992032,4.0,135.0,3.955082494888593,4.032469158504013,2.1972245773362196,5.709433146165015,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2986,2654634,211175.0,229175.0,1950,2,100,36.0,5.9,3012184.2,36315.0,428.6,266.2,1.16,40.762495,-73.998202,4.0,129.0,3.505557396986398,3.58351893845611,1.7749523509116738,5.075173815233827,5.5842479059610115,0.14842000511827322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2988,4733225,52500.0,30000.0,1920,1,100,48.3,2.0,112564.5,1266.2,33.7,624.6,11.9,40.763584,-73.996971,4.0,129.0,3.751854253275325,3.877431560658527,0.6931471805599453,4.915591745409362,6.437111444848978,2.4765384001174837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
2993,5236735,152375.0,90000.0,1930,1,100,195.7,19.0,7274672.1,81622.6,375.2,4.5,0.07,40.769464,-73.994834,4.0,135.0,5.201255653704905,5.27658287440203,2.9444389791664403,5.9568731023383625,1.5040773967762742,-2.659260036932778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2995,4900852,387619.0,411845.0,1929,1,100,42.3,4.5,9593887.5,111538.9,597.9,,,40.768917,-73.992426,4.0,135.0,3.6609942506244004,3.744787086052232,1.5040773967762742,6.2336261042579535,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
2998,2729772,547239.0,537078.0,2005,1,100,,9.6,16948778.9,189113.6,1692.7,24186.0,44.03,40.77052,-73.99186999999999,4.0,135.0,,,2.2617630984737906,,10.09352923234522,3.7848712197676626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2999,5877331,978663.0,896998.0,2016,1,0,42.6,7.3,15241288.5,164914.4,2183.1,,,40.771014,-73.993054,4.0,135.0,3.7184382563554808,3.751854253275325,1.9878743481543455,6.69641677311769,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
